0	0	0
2500	0	0
2500	2250	0
0	2250	0
0	0	0
0	0	-150
750	250	-150
750	250	0
250	250	0
250	750	0
750	750	0
250	750	0
250	1250	0
750	1250	0
750	1250	-150
1000	250	-150
1000	250	0
1500	250	0
1250	250	0
1250	1250	0
1250	1250	-150
1750	250	-150
1750	250	0
1750	1250	0
1750	750	0
2250	750	0
2250	250	0
2250	1250	0
2250	1250	-150
500	1500	-150
500	1500	0
250	1500	0
250	2000	0
500	2000	0
500	1750	0
300	1750	0
550	1750	0
550	1750	-150
650	1500	-150
650	1500	0
900	1500	0
900	2000	0
650	2000	0
650	1500	0
650	1500	-150
1250	1500	-150
1250	1500	0
1250	2000	0
1250	2000	-150
1250	2000	-150
0	0	-150
